epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,822.773,0.69838,0.51601,0.90637,0.82605,0.86507,0.87319,0.65776,0.93047,0.67156,0.97826,0.000304021,0.000304021,0.000304021
118,830.319,0.68118,0.51074,0.90098,0.82674,0.84352,0.86629,0.66003,0.93633,0.70168,0.98238,0.000300487,0.000300487,0.000300487
119,837.261,0.69534,0.54137,0.90732,0.84245,0.82884,0.86031,0.6512,0.92758,0.69561,0.95966,0.000296953,0.000296953,0.000296953
120,844.134,0.71666,0.56875,0.92305,0.84174,0.82879,0.86196,0.6527,0.92555,0.69999,0.96627,0.000293418,0.000293418,0.000293418
121,851.065,0.71329,0.56947,0.92033,0.82156,0.82747,0.85366,0.65037,0.91565,0.6741,0.96339,0.000289884,0.000289884,0.000289884
122,858.297,0.66949,0.48964,0.88518,0.83372,0.84023,0.86205,0.64602,0.95327,0.69514,0.97951,0.00028635,0.00028635,0.00028635
123,865.119,0.69439,0.51554,0.91275,0.87492,0.82666,0.86228,0.64445,0.94303,0.68352,0.98362,0.000282815,0.000282815,0.000282815
124,871.909,0.69548,0.51877,0.90877,0.86392,0.85766,0.86911,0.65707,0.92872,0.66884,0.96313,0.000279281,0.000279281,0.000279281
125,878.738,0.68464,0.5264,0.90672,0.82832,0.84882,0.86409,0.64872,0.92605,0.67084,0.96843,0.000275747,0.000275747,0.000275747
126,885.417,0.67566,0.50544,0.90126,0.85525,0.85426,0.85976,0.63938,0.93006,0.68627,0.95929,0.000272212,0.000272212,0.000272212
127,892.686,0.66502,0.49764,0.89618,0.8354,0.84537,0.85936,0.65047,0.92895,0.72335,0.97064,0.000268678,0.000268678,0.000268678
128,899.477,0.69246,0.52852,0.90594,0.86932,0.8469,0.87558,0.656,0.96561,0.67315,0.98926,0.000265144,0.000265144,0.000265144
129,906.304,0.64939,0.49769,0.88046,0.85939,0.86409,0.87153,0.6531,0.94009,0.67879,0.98326,0.00026161,0.00026161,0.00026161
130,913.123,0.67715,0.50509,0.91157,0.85121,0.87332,0.8863,0.65969,0.93806,0.69631,0.97245,0.000258075,0.000258075,0.000258075
131,919.919,0.69304,0.53077,0.91285,0.84557,0.87685,0.88607,0.65811,0.9426,0.6717,0.97275,0.000254541,0.000254541,0.000254541
132,927.227,0.67235,0.52156,0.90328,0.8252,0.83677,0.86742,0.6505,0.93092,0.67772,0.97995,0.000251007,0.000251007,0.000251007
133,933.91,0.66724,0.49412,0.89828,0.87904,0.82691,0.88755,0.67703,0.91829,0.65947,0.97548,0.000247472,0.000247472,0.000247472
134,940.823,0.64815,0.47861,0.88128,0.81883,0.86532,0.87512,0.66334,0.91701,0.66656,0.97381,0.000243938,0.000243938,0.000243938
135,947.58,0.66465,0.53003,0.90325,0.84972,0.80507,0.84594,0.64301,0.94375,0.72319,0.99002,0.000240404,0.000240404,0.000240404
136,954.602,0.67105,0.52318,0.91299,0.82036,0.84416,0.86857,0.65039,0.93278,0.68265,0.97992,0.000236869,0.000236869,0.000236869
137,961.514,0.65723,0.51349,0.89694,0.85502,0.8661,0.8813,0.65686,0.9384,0.64635,0.98639,0.000233335,0.000233335,0.000233335
138,968.473,0.67527,0.51118,0.89139,0.84993,0.86835,0.89163,0.6591,0.92652,0.68074,0.97075,0.000229801,0.000229801,0.000229801
139,975.254,0.67103,0.50144,0.89613,0.87265,0.83445,0.8941,0.6769,0.93154,0.66612,0.9652,0.000226267,0.000226267,0.000226267
140,982.001,0.68208,0.51479,0.91439,0.80813,0.87309,0.88695,0.67632,0.91563,0.66323,0.96594,0.000222732,0.000222732,0.000222732
141,989.233,0.66364,0.50109,0.89798,0.86389,0.83579,0.8972,0.6728,0.90945,0.65229,0.96106,0.000219198,0.000219198,0.000219198
142,996.009,0.62579,0.47375,0.88431,0.85171,0.85105,0.88652,0.6693,0.9148,0.67027,0.97233,0.000215664,0.000215664,0.000215664
143,1002.62,0.64851,0.48557,0.89857,0.82977,0.84583,0.88464,0.66502,0.90851,0.64414,0.97021,0.000212129,0.000212129,0.000212129
144,1009.38,0.64759,0.49939,0.89724,0.83474,0.86892,0.88319,0.67071,0.91282,0.62987,0.96146,0.000208595,0.000208595,0.000208595
145,1016.13,0.66566,0.4998,0.90602,0.87616,0.85542,0.88922,0.6727,0.91047,0.64749,0.9634,0.000205061,0.000205061,0.000205061
146,1023.36,0.66953,0.50778,0.89594,0.8345,0.88866,0.88406,0.67217,0.91011,0.67206,0.95551,0.000201527,0.000201527,0.000201527
