epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,926.322,0.61129,0.46668,0.90887,0.84999,0.82438,0.85176,0.66357,0.90151,0.65722,1.02547,0.000332296,0.000332296,0.000332296
110,934.746,0.62622,0.47217,0.91696,0.8367,0.85672,0.85355,0.65885,0.90621,0.6858,1.03726,0.000328761,0.000328761,0.000328761
111,943.226,0.6114,0.43929,0.90399,0.85614,0.82288,0.86022,0.66168,0.92995,0.69965,1.05612,0.000325227,0.000325227,0.000325227
112,951.544,0.61044,0.44725,0.90135,0.86506,0.79369,0.8481,0.66032,0.92002,0.67182,1.05571,0.000321693,0.000321693,0.000321693
113,959.96,0.60284,0.44145,0.89253,0.85956,0.83567,0.86958,0.6719,0.92061,0.67347,1.03941,0.000318158,0.000318158,0.000318158
114,968.529,0.60385,0.43714,0.89734,0.85365,0.82171,0.86796,0.66023,0.92066,0.66088,1.04464,0.000314624,0.000314624,0.000314624
115,976.869,0.60342,0.43806,0.90172,0.82072,0.85765,0.86992,0.66371,0.92395,0.67047,1.04473,0.00031109,0.00031109,0.00031109
116,985.218,0.6063,0.45456,0.90277,0.81772,0.83781,0.86492,0.65938,0.92485,0.69306,1.04595,0.000307555,0.000307555,0.000307555
117,993.582,0.60125,0.42645,0.89926,0.86531,0.80854,0.86426,0.66152,0.92087,0.65766,1.0499,0.000304021,0.000304021,0.000304021
118,1002.25,0.58032,0.40547,0.90052,0.86735,0.81482,0.87121,0.6646,0.92313,0.66204,1.06112,0.000300487,0.000300487,0.000300487
119,1010.7,0.59065,0.44351,0.90305,0.87508,0.82172,0.87082,0.66316,0.93913,0.65581,1.05503,0.000296953,0.000296953,0.000296953
120,1019.14,0.62177,0.47308,0.91578,0.86207,0.85245,0.85729,0.66166,0.91709,0.68356,1.05202,0.000293418,0.000293418,0.000293418
121,1027.52,0.59836,0.4641,0.91074,0.89462,0.78704,0.84216,0.65541,0.91895,0.70266,1.04272,0.000289884,0.000289884,0.000289884
122,1036.18,0.57539,0.40005,0.88062,0.84448,0.82327,0.84515,0.65691,0.91239,0.68537,1.04158,0.00028635,0.00028635,0.00028635
123,1044.58,0.59981,0.42604,0.90727,0.84262,0.85476,0.85919,0.66783,0.92326,0.68375,1.04779,0.000282815,0.000282815,0.000282815
124,1053.04,0.58836,0.43031,0.90576,0.83545,0.79617,0.85256,0.65588,0.92809,0.6979,1.04795,0.000279281,0.000279281,0.000279281
125,1061.35,0.59142,0.43811,0.90206,0.8459,0.83718,0.86322,0.6639,0.91447,0.69268,1.04428,0.000275747,0.000275747,0.000275747
126,1069.92,0.57265,0.42608,0.89315,0.8359,0.84742,0.87282,0.67456,0.91053,0.68085,1.04564,0.000272212,0.000272212,0.000272212
127,1078.21,0.57855,0.42979,0.89673,0.88785,0.8226,0.8683,0.67999,0.90224,0.66311,1.04291,0.000268678,0.000268678,0.000268678
128,1086.61,0.58232,0.42978,0.89871,0.83879,0.85522,0.86259,0.67405,0.92969,0.67618,1.05785,0.000265144,0.000265144,0.000265144
129,1094.84,0.5513,0.40059,0.87506,0.85078,0.85623,0.86347,0.6676,0.90073,0.69034,1.03809,0.00026161,0.00026161,0.00026161
